time,open,high,low,close,volume
2024-01-12 20:00:00,1.09560,1.09566,1.09505,1.09514,2656
2024-01-12 21:00:00,1.09518,1.09528,1.09484,1.09508,1989
2024-01-14 22:00:00,1.09474,1.09514,1.09452,1.09498,847
2024-01-14 23:00:00,1.09492,1.09502,1.09441,1.09452,1168
2024-01-15 00:00:00,1.09452,1.09542,1.09408,1.09534,2543
2024-01-15 01:00:00,1.09535,1.09562,1.09494,1.09550,2532
2024-01-15 02:00:00,1.09551,1.09655,1.09551,1.09649,1818
2024-01-15 03:00:00,1.09650,1.09676,1.09635,1.09642,1703
2024-01-15 04:00:00,1.09641,1.09645,1.09587,1.09630,1265
2024-01-15 05:00:00,1.09630,1.09660,1.09608,1.09642,1486
2024-01-15 06:00:00,1.09644,1.09667,1.09625,1.09640,2004
2024-01-15 07:00:00,1.09636,1.09664,1.09516,1.09534,3770
2024-01-15 08:00:00,1.09539,1.09652,1.09536,1.09582,4996
2024-01-15 09:00:00,1.09580,1.09589,1.09431,1.09468,4040
2024-01-15 10:00:00,1.09468,1.09468,1.09336,1.09402,4232
2024-01-15 11:00:00,1.09402,1.09492,1.09400,1.09454,2998
2024-01-15 12:00:00,1.09452,1.09592,1.09438,1.09538,4021
2024-01-15 13:00:00,1.09537,1.09542,1.09444,1.09506,4179
2024-01-15 14:00:00,1.09508,1.09521,1.09387,1.09434,3976
2024-01-15 15:00:00,1.09436,1.09509,1.09382,1.09498,3889
2024-01-15 16:00:00,1.09501,1.09525,1.09466,1.09474,2437
2024-01-15 17:00:00,1.09474,1.09526,1.09462,1.09482,1112
2024-01-15 18:00:00,1.09482,1.09530,1.09476,1.09528,449
2024-01-15 19:00:00,1.09529,1.09538,1.09498,1.09506,790
2024-01-15 20:00:00,1.09508,1.09520,1.09491,1.09520,583
2024-01-15 21:00:00,1.09518,1.09520,1.09498,1.09503,441
2024-01-15 22:00:00,1.09488,1.09512,1.09484,1.09500,806
2024-01-15 23:00:00,1.09496,1.09512,1.09448,1.09450,1181
2024-01-16 00:00:00,1.09453,1.09464,1.09192,1.09198,3173
2024-01-16 01:00:00,1.09198,1.09316,1.09154,1.09278,4587
2024-01-16 02:00:00,1.09276,1.09278,1.09216,1.09238,2622
2024-01-16 03:00:00,1.09240,1.09255,1.09162,1.09190,2425
2024-01-16 04:00:00,1.09188,1.09202,1.09134,1.09176,1596
2024-01-16 05:00:00,1.09176,1.09186,1.09125,1.09154,2291
2024-01-16 06:00:00,1.09151,1.09217,1.09128,1.09176,2733
2024-01-16 07:00:00,1.09179,1.09268,1.09088,1.09186,5029
2024-01-16 08:00:00,1.09185,1.09234,1.08944,1.09049,8161
2024-01-16 09:00:00,1.09027,1.09042,1.08840,1.08863,6509
2024-01-16 10:00:00,1.08864,1.08896,1.08793,1.08814,4616
2024-01-16 11:00:00,1.08813,1.08949,1.08739,1.08924,4418
2024-01-16 12:00:00,1.08924,1.08934,1.08836,1.08864,4152
2024-01-16 13:00:00,1.08864,1.08980,1.08716,1.08742,9574
2024-01-16 14:00:00,1.08741,1.08893,1.08665,1.08725,9851
2024-01-16 15:00:00,1.08726,1.08884,1.08658,1.08858,7200
2024-01-16 16:00:00,1.08860,1.08948,1.08621,1.08812,13181
2024-01-16 17:00:00,1.08812,1.08830,1.08630,1.08632,6439
2024-01-16 18:00:00,1.08631,1.08772,1.08630,1.08700,4298
2024-01-16 19:00:00,1.08702,1.08748,1.08678,1.08738,3035
2024-01-16 20:00:00,1.08736,1.08757,1.08701,1.08716,3021
2024-01-16 21:00:00,1.08718,1.08777,1.08714,1.08756,1149
2024-01-16 22:00:00,1.08738,1.08782,1.08708,1.08768,1333
2024-01-16 23:00:00,1.08764,1.08787,1.08757,1.08787,771
2024-01-17 00:00:00,1.08789,1.08789,1.08724,1.08778,2213
2024-01-17 01:00:00,1.08778,1.08824,1.08734,1.08773,3293
2024-01-17 02:00:00,1.08776,1.08846,1.08739,1.08748,2431
